State,ABBR,Jan2020c,Jan2020u,Feb2020c,Feb2020u,Mar2020c,Mar2020u,Apr2020c,Apr2020u,May2020c,May2020u,Jun2020c,Jun2020u,Jul2020c,Jul2020u,Aug2020c,Aug2020u,Sep2020c,Sep2020u,Oct2020c,Oct2020u,Nov2020c,Nov2020u,Dec2020c,Dec2020u,Jan2021c,Jan2021u,Feb2021c,Feb2021u,Mar2021c,Mar2021u,Apr2021c,Apr2021u,May2021c,May2021u,Jun2021c,Jun2021u,Population
North Dakota,ND,0,2.2,0,2.3,126,2.3,941,8.7,1510,8.7,999,6.2,3026,6.2,5398,6.1,10218,4.7,22825,4.7,34612,4.7,13115,4.7,4913,4.5,2169,4.8,3447,4.4,4340,4.2,2323,4,756,4,"762,062"
Ohio,OH,0,4.5,0,4.7,2199,4.9,15828,16.4,17486,14.9,16276,10.3,39370,9.3,31998,9,30830,7.4,61710,5.6,205366,5.6,279317,5.6,195412,5.3,71630,5,50144,4.7,54746,4.7,29932,5,9080,5.2,"11,689,100"
Oklahoma,OK,0,3.1,28,3.1,1627,3.2,2789,13,2983,9.5,11587,8.2,23629,7.2,20734,6.3,30917,5.7,39651,5.2,85987,4.8,105592,4.5,83375,4.4,24269,4.4,9213,4.3,6789,4.1,4072,3.9,4938,3.7,"3,956,971"
Oregon,OR,0,3.4,1,3.5,689,3.6,1820,13.2,1733,11.7,4413,10.3,9837,9.6,8220,8.4,6796,7.5,11412,7,30510,6.6,38478,6.3,28507,6.2,13181,6.1,9415,6,19800,5.9,16663,5.8,7162,5.6,"4,217,737"
Pennsylvania,PA,0,4.8,0,5,4843,5.1,40920,16.2,26519,13.5,14960,13.3,25694,13,21089,10.2,24942,7.1,49060,7,153451,7.1,279127,7.1,202899,7.3,88418,7.4,93215,7.3,125868,7.1,51174,7,9892,6.9,"12,801,989"
Rhode Island,RI,0,3.8,0,4,510,4,8194,17.4,6172,12.9,1901,10.9,2238,14,2811,12.6,2965,10.9,8683,7.3,23503,7.9,32731,7.9,26127,7.2,10604,7.3,11213,7,10639,6.3,3538,6,682,5.9,"1,059,361"
South Carolina,SC,0,2.6,0,2.8,1143,3,5062,11.5,6220,11.5,25254,7.7,53859,7.6,32418,5.4,25521,5.4,29012,5.4,43388,5.6,101470,5.6,143549,5.3,57344,5.2,30058,5.1,24705,5,12875,4.6,5197,4.5,"5,148,714"
South Dakota,SD,0,2.9,0,2.9,108,2.9,2341,9.2,2544,7,1771,6.1,2000,5.4,4745,4.7,8880,4,23603,3.7,34472,3.6,18700,3.3,9086,3.1,4177,3,5332,2.9,4901,2.8,1531,2.8,345,2.9,"884,659"
Tennessee,TN,0,3.7,0,3.9,3232,4,9451,15.8,12273,9.6,24879,9.3,59655,8.9,46049,8.1,42331,7.9,70595,7.8,127208,5.6,210535,5.6,127764,5.1,43787,4.9,34813,5.1,32219,5,16645,5,5577,4.9,"6,829,174"
Texas,TX,0,3.6,0,3.7,3266,4.9,24821,12.9,36200,11.6,95699,10.2,260960,9.3,192023,6.9,135998,7.9,151629,7.3,310361,7.2,477740,6.9,604460,6.8,283392,6.9,139281,6.9,99922,6.7,60617,6.6,44613,6.5,"28,995,881"
Utah,UT,0,2.4,0,2.5,934,2.5,3819,10.1,5191,7.6,12802,6.3,18051,5.4,11995,4.8,20250,4.2,41614,3.8,81050,3.5,80906,3.3,70012,3.1,24611,3,14406,2.9,11682,2.8,8847,2.7,8969,2.7,"3,205,958"
Vermont,VT,0,2.5,0,2.5,271,2.6,521,14.8,108,9.3,203,7.7,192,6.4,185,5.4,127,4.6,414,4,2013,3.7,2932,3.5,4109,3.2,2969,3,3924,2.9,3504,2.9,1185,3,167,3.1,"623,989"
Virginia,VA,0,2.5,0,2.5,1484,2.6,15417,11.3,28497,8.5,17389,8.8,28014,7.9,30814,7,27106,6.6,33672,6.1,57671,5.8,114703,5.6,152873,5.3,69534,5.2,43628,5.1,39751,4.7,15044,4.5,4967,4.3,"8,535,519"
Washington,WA,1,4,0,4.1,5340,5.3,9067,16.3,7353,12.5,11065,10.8,23919,10.8,18469,9.1,13687,8,21135,7,59558,6.7,76819,6.3,66279,6,27424,5.6,24184,5.5,38608,5.4,33767,5.2,14920,5.2,"7,614,893"
West Virginia,WV,0,5,0,5.1,162,5.3,963,15.6,885,11.9,895,10.5,3737,9.4,3608,8.5,5598,7.9,8612,7.4,23382,7,37492,6.7,35667,6.5,10854,6.2,9883,5.9,11390,5.8,8585,5.5,2328,5.3,"1,792,147"
Wisconsin,WI,0,3.3,0,3.3,1351,3.2,5503,14.8,11549,10.4,13259,8.6,25272,7.2,23634,6.1,48555,5.2,108747,4.8,173860,4.4,108708,4,71702,3.8,25227,3.8,18674,3.8,24409,3.9,13970,3.9,3202,3.9,"5,822,434"
Wyoming,WY,0,4.4,0,4.8,120,5.1,439,5.5,344,8.5,584,7.4,1239,6.8,1116,6.2,2106,5.7,7350,5.4,20007,5.3,11104,5.2,7503,5.1,2482,5.3,1916,5.3,1832,5.4,2164,5.4,1984,5.4,"578,759"
